#         Lambda    Transmission
           9130.0000            0.221889
           9140.0000            0.215094
           9150.0000            0.207076
           9160.0000            0.197600
           9170.0000            0.185975
           9180.0000            0.171623
           9190.0000            0.154797
           9200.0000            0.135271
           9210.0000            0.114899
           9220.0000            0.094853
           9230.0000            0.076368
           9240.0000            0.060148
           9250.0000            0.046736
           9260.0000            0.035930
           9270.0000            0.027614
           9280.0000            0.020933
           9290.0000            0.015909
           9300.0000            0.012212
           9310.0000            0.009446
           9320.0000            0.007305
           9330.0000            0.005789
           9340.0000            0.004530
           9350.0000            0.003551
           9360.0000            0.002859
           9370.0000            0.002240
           9380.0000            0.001867
           9390.0000            0.001414
           9400.0000            0.001213
           9410.0000            0.001045
           9420.0000            0.000922
           9430.0000            0.000622
           9440.0000            0.000628
           9450.0000            0.000540
           9460.0000            0.000374
           9470.0000            0.000462
           9480.0000            0.000430
           9490.0000            0.000219
           9500.0000            0.000293
           9510.0000            0.000290
           9520.0000            0.000187
           9530.0000            0.000222
           9540.0000            0.000207
           9550.0000            0.000084
           9560.0000            0.000238
           9570.0000            0.000118
           9580.0000            0.000105
           9590.0000            0.000103
           9600.0000            0.000159
           9610.0000            0.000067
           9620.0000            0.000066
           9630.0000            0.000109
           9640.0000            0.000173
           9650.0000            0.000117
           9660.0000            0.000126
           9670.0000            0.000093
           9680.0000            0.000102
           9690.0000            0.000061
           9700.0000            0.000060
           9710.0000            0.000059
           9720.0000            0.000068
           9730.0000            0.000067
           9740.0000            0.000160
           9750.0000            0.000111
           9760.0000            0.000146
           9770.0000            0.000090
           9780.0000            0.000062
           9790.0000            0.000070
           9800.0000            0.000009
           9810.0000            0.000008
           9820.0000            0.000124
           9830.0000            0.000049
           9840.0000            0.000040
           9850.0000            0.000102
           9860.0000            0.000101
           9870.0000            0.000053
           9880.0000            0.000037
           9890.0000            0.000029
           9900.0000            0.000057
           9910.0000            0.000056
           9920.0000            0.000055
           9930.0000            0.000014
           9940.0000            0.000079
           9950.0000            0.000039
           9960.0000            0.000051
           9970.0000            0.000019
           9980.0000            0.000055
           9990.0000            0.000071
          10000.0000            0.000087
