#         Lambda    Transmission
          20215.0000            0.826302
          20220.0000            0.829821
          20225.0000            0.831897
          20230.0000            0.833773
          20235.0000            0.835271
          20240.0000            0.836709
          20245.0000            0.837919
          20250.0000            0.838600
          20255.0000            0.839328
          20260.0000            0.839911
          20265.0000            0.839944
          20270.0000            0.840326
          20275.0000            0.840502
          20280.0000            0.840351
          20285.0000            0.840180
          20290.0000            0.839749
          20295.0000            0.839579
          20300.0000            0.839241
          20305.0000            0.838556
          20310.0000            0.837970
          20315.0000            0.837505
          20320.0000            0.836695
          20325.0000            0.836109
          20330.0000            0.835410
          20335.0000            0.834809
          20340.0000            0.834085
          20345.0000            0.833543
          20350.0000            0.832609
          20355.0000            0.832058
          20360.0000            0.831160
          20365.0000            0.830924
          20370.0000            0.830395
          20375.0000            0.829572
          20380.0000            0.828800
          20385.0000            0.828238
          20390.0000            0.827749
          20395.0000            0.827152
          20400.0000            0.826408
          20405.0000            0.826053
          20410.0000            0.825427
          20415.0000            0.825085
          20420.0000            0.824733
          20425.0000            0.824030
          20430.0000            0.823619
          20435.0000            0.823271
          20440.0000            0.822903
          20445.0000            0.822470
          20450.0000            0.822150
          20455.0000            0.821747
          20460.0000            0.821254
          20465.0000            0.820991
          20470.0000            0.820706
          20475.0000            0.820359
          20480.0000            0.820100
          20485.0000            0.819720
          20490.0000            0.819473
          20495.0000            0.819069
          20500.0000            0.818722
          20505.0000            0.818532
          20510.0000            0.818128
          20515.0000            0.817735
          20520.0000            0.817602
          20525.0000            0.817152
          20530.0000            0.816734
          20535.0000            0.816589
          20540.0000            0.816128
          20545.0000            0.816098
          20550.0000            0.815618
          20555.0000            0.815123
          20560.0000            0.815024
          20565.0000            0.814745
          20570.0000            0.814327
          20575.0000            0.814119
          20580.0000            0.813841
          20585.0000            0.813349
          20590.0000            0.813066
          20595.0000            0.812848
          20600.0000            0.812421
          20605.0000            0.812339
          20610.0000            0.812060
          20615.0000            0.811761
          20620.0000            0.811618
          20625.0000            0.811230
          20630.0000            0.810975
          20635.0000            0.810858
          20640.0000            0.810675
          20645.0000            0.810443
          20650.0000            0.810151
          20655.0000            0.810094
          20660.0000            0.809755
          20665.0000            0.809469
          20670.0000            0.809376
          20675.0000            0.809284
          20680.0000            0.809252
          20685.0000            0.808979
          20690.0000            0.808900
          20695.0000            0.808975
          20700.0000            0.808834
          20705.0000            0.808810
          20710.0000            0.808692
          20715.0000            0.808717
          20720.0000            0.808738
          20725.0000            0.808688
          20730.0000            0.808690
          20735.0000            0.808883
          20740.0000            0.808799
          20745.0000            0.808895
          20750.0000            0.809195
          20755.0000            0.809169
          20760.0000            0.809167
          20765.0000            0.809512
          20770.0000            0.809815
          20775.0000            0.809993
          20780.0000            0.810036
          20785.0000            0.810282
          20790.0000            0.810773
          20795.0000            0.810931
          20800.0000            0.811440
          20805.0000            0.811885
          20810.0000            0.812343
          20815.0000            0.812245
          20820.0000            0.812987
          20825.0000            0.813237
          20830.0000            0.813609
          20835.0000            0.814189
          20840.0000            0.814777
          20845.0000            0.815192
          20850.0000            0.815693
          20855.0000            0.816257
          20860.0000            0.817198
          20865.0000            0.817434
          20870.0000            0.818139
          20875.0000            0.818721
          20880.0000            0.819468
          20885.0000            0.820183
          20890.0000            0.820555
          20895.0000            0.821337
          20900.0000            0.821897
          20905.0000            0.822495
          20910.0000            0.823506
          20915.0000            0.824036
          20920.0000            0.824914
          20925.0000            0.825536
          20930.0000            0.826290
          20935.0000            0.827000
          20940.0000            0.827554
          20945.0000            0.828479
          20950.0000            0.829283
          20955.0000            0.830125
          20960.0000            0.830650
          20965.0000            0.831612
          20970.0000            0.832339
          20975.0000            0.833163
          20980.0000            0.833573
          20985.0000            0.834623
          20990.0000            0.835396
          20995.0000            0.836418
          21000.0000            0.836844
          21005.0000            0.837325
          21010.0000            0.838368
          21015.0000            0.838995
          21020.0000            0.839619
          21025.0000            0.840325
          21030.0000            0.841218
          21035.0000            0.841956
          21040.0000            0.842499
          21045.0000            0.843314
          21050.0000            0.844177
          21055.0000            0.844475
          21060.0000            0.845271
          21065.0000            0.846160
          21070.0000            0.846554
          21075.0000            0.847246
          21080.0000            0.847915
          21085.0000            0.848492
          21090.0000            0.848975
          21095.0000            0.849479
          21100.0000            0.850226
          21105.0000            0.850632
          21110.0000            0.851397
          21115.0000            0.851860
          21120.0000            0.852312
          21125.0000            0.852930
          21130.0000            0.853399
          21135.0000            0.853816
          21140.0000            0.854475
          21145.0000            0.854625
          21150.0000            0.855566
          21155.0000            0.855759
          21160.0000            0.856222
          21165.0000            0.856717
          21170.0000            0.857046
          21175.0000            0.857458
          21180.0000            0.857623
          21185.0000            0.858366
          21190.0000            0.858641
          21195.0000            0.858972
          21200.0000            0.859654
          21205.0000            0.859991
          21210.0000            0.860135
          21215.0000            0.860544
          21220.0000            0.861025
          21225.0000            0.861239
          21230.0000            0.861544
          21235.0000            0.861976
          21240.0000            0.861873
          21245.0000            0.862303
          21250.0000            0.862484
          21255.0000            0.862716
          21260.0000            0.862831
          21265.0000            0.862755
          21270.0000            0.862778
          21275.0000            0.862786
          21280.0000            0.862670
          21285.0000            0.862785
          21290.0000            0.862617
          21295.0000            0.862430
          21300.0000            0.862261
          21305.0000            0.862169
          21310.0000            0.861952
          21315.0000            0.861605
          21320.0000            0.861720
          21325.0000            0.861431
          21330.0000            0.861373
          21335.0000            0.861369
          21340.0000            0.861117
          21345.0000            0.861332
          21350.0000            0.861144
          21355.0000            0.861389
          21360.0000            0.861217
          21365.0000            0.861353
          21370.0000            0.861604
          21375.0000            0.861558
          21380.0000            0.861630
          21385.0000            0.861621
          21390.0000            0.861832
          21395.0000            0.862079
          21400.0000            0.861733
          21405.0000            0.861940
          21410.0000            0.861951
          21415.0000            0.861947
          21420.0000            0.862232
          21425.0000            0.861930
          21430.0000            0.862110
          21435.0000            0.861770
