#         Lambda    Transmission
           6013.8999            0.702492
           6019.8999            0.702679
           6025.8999            0.702263
           6031.8999            0.701503
           6037.8999            0.700742
           6043.8999            0.700154
           6049.8999            0.700167
           6055.8999            0.699663
           6061.8999            0.698298
           6067.8999            0.697621
           6073.8999            0.697117
           6079.8999            0.696698
           6086.0000            0.696023
           6092.0000            0.695776
           6098.0000            0.695269
           6104.0000            0.694590
           6110.0000            0.693651
           6116.0000            0.693230
           6122.0000            0.693241
           6128.0000            0.692905
           6134.0000            0.691878
           6140.0000            0.691024
           6146.0000            0.690082
           6152.0000            0.688794
           6158.0000            0.688024
           6164.0000            0.686302
           6170.0000            0.685012
           6176.1001            0.684070
           6182.1001            0.683124
           6188.1001            0.682005
           6194.1001            0.681231
           6200.1001            0.679764
           6206.1001            0.678729
           6212.1001            0.677694
           6218.1001            0.676658
           6224.1001            0.675708
           6230.1001            0.675452
           6236.1001            0.674848
           6242.1001            0.673463
           6248.1001            0.670947
           6254.1001            0.667041
           6260.1001            0.665478
           6266.2002            0.665047
           6272.2002            0.664179
           6278.2002            0.663396
           6284.2002            0.662613
           6290.2002            0.660786
           6296.2002            0.659306
           6302.2002            0.657824
           6308.2002            0.657126
           6314.2002            0.656253
           6320.2002            0.654595
           6326.2002            0.652762
           6332.2002            0.651364
           6338.2002            0.650488
           6344.2002            0.649699
           6350.2002            0.648735
           6356.2998            0.647424
           6362.2998            0.646110
           6368.2998            0.644707
           6374.2998            0.643391
           6380.2998            0.641899
           6386.2998            0.640582
           6392.2998            0.639438
           6398.2998            0.637857
           6404.2998            0.636187
           6410.2998            0.634691
           6416.2998            0.632932
           6422.2998            0.631522
           6428.2998            0.630373
           6434.2998            0.629224
           6440.2998            0.627024
           6446.3999            0.625701
           6452.3999            0.624374
           6458.3999            0.622521
           6464.3999            0.621017
           6470.3999            0.619512
           6476.3999            0.618270
           6482.3999            0.615799
           6488.3999            0.614204
           6494.3999            0.613222
           6500.3999            0.611252
           6506.3999            0.609154
           6512.3999            0.607233
           6518.3999            0.604961
           6524.3999            0.602779
           6530.3999            0.600772
           6536.5000            0.599466
           6542.5000            0.597637
           6548.5000            0.595633
           6554.5000            0.593631
           6560.5000            0.591367
           6566.5000            0.589541
           6572.5000            0.587630
           6578.5000            0.585194
           6584.5000            0.582672
           6590.5000            0.580763
           6596.5000            0.578156
           6602.5000            0.576599
           6608.5000            0.574519
           6614.5000            0.572614
           6620.5000            0.570710
           6626.6001            0.568892
           6632.6001            0.565943
           6638.6001            0.563781
           6644.6001            0.561620
           6650.6001            0.559634
           6656.6001            0.558173
           6662.6001            0.555927
           6668.6001            0.553683
           6674.6001            0.551353
           6680.6001            0.549111
           6686.6001            0.546610
           6692.6001            0.544370
           6698.6001            0.542306
           6704.6001            0.540156
           6710.6001            0.537920
           6716.7002            0.536117
           6722.7002            0.533449
           6728.7002            0.530521
           6734.7002            0.528203
           6740.7002            0.525973
           6746.7002            0.524265
           6752.7002            0.522037
           6758.7002            0.520071
           6764.7002            0.517585
           6770.7002            0.515100
           6776.7002            0.512790
           6782.7002            0.510828
           6788.7002            0.508174
           6794.7002            0.505954
           6800.7002            0.503736
           6806.7998            0.501516
           6812.7998            0.499040
           6818.7998            0.496825
           6824.7998            0.494439
           6830.7998            0.491880
           6836.7998            0.489063
           6842.7998            0.486681
           6848.7998            0.483262
           6854.7998            0.480536
           6860.7998            0.477726
           6866.7998            0.474571
           6872.7998            0.472282
           6878.7998            0.469648
           6884.7998            0.467102
           6890.7998            0.464385
           6896.8999            0.462098
           6902.8999            0.459298
           6908.8999            0.457016
           6914.8999            0.455080
           6920.8999            0.452714
           6926.8999            0.449575
           6932.8999            0.446953
           6938.8999            0.444936
           6944.8999            0.442489
           6950.8999            0.439614
           6956.8999            0.437342
           6962.8999            0.434727
           6968.8999            0.432028
           6974.8999            0.429330
           6980.8999            0.426634
           6987.0000            0.423765
           6993.0000            0.420815
           6999.0000            0.418123
           7005.0000            0.415452
           7011.0000            0.412567
           7017.0000            0.409773
           7023.0000            0.407239
           7029.0000            0.404368
           7035.0000            0.401672
           7041.0000            0.398555
           7047.0000            0.396124
           7053.0000            0.393612
           7059.0000            0.390765
           7065.0000            0.388092
           7071.0000            0.385593
           7077.1001            0.383176
           7083.1001            0.380008
           7089.1001            0.377607
           7095.1001            0.375210
           7101.1001            0.372732
           7107.1001            0.370174
           7113.1001            0.367030
           7119.1001            0.364313
           7125.1001            0.361517
           7131.1001            0.358893
           7137.1001            0.356022
           7143.1001            0.353491
           7149.1001            0.350964
           7155.1001            0.348191
           7161.1001            0.345841
           7167.1001            0.343327
           7173.2002            0.340729
           7179.2002            0.337974
           7185.2002            0.335474
           7191.2002            0.333145
           7197.2002            0.330819
           7203.2002            0.328498
           7209.2002            0.326180
           7215.2002            0.323618
           7221.2002            0.321143
           7227.2002            0.318838
           7233.2002            0.316041
           7239.2002            0.313331
           7245.2002            0.310956
           7251.2002            0.308421
           7257.2002            0.306137
           7263.2998            0.303194
           7269.2998            0.300590
           7275.2998            0.297827
           7281.2998            0.295397
           7287.2998            0.292725
           7293.2998            0.290139
           7299.2998            0.287804
           7305.2998            0.285391
           7311.2998            0.282901
           7317.2998            0.281066
           7323.2998            0.278828
           7329.2998            0.276513
           7335.2998            0.274202
           7341.2998            0.272057
           7347.2998            0.269916
           7353.3999            0.267694
           7359.3999            0.265479
           7365.3999            0.263269
           7371.3999            0.261063
           7377.3999            0.258458
           7383.3999            0.256180
           7389.3999            0.253664
           7395.3999            0.251555
           7401.3999            0.249370
           7407.3999            0.246868
           7413.3999            0.244931
           7419.3999            0.242917
           7425.3999            0.240348
           7431.3999            0.238422
           7437.3999            0.236340
           7443.5000            0.234179
           7449.5000            0.232582
           7455.5000            0.230034
           7461.5000            0.227650
           7467.5000            0.225905
           7473.5000            0.223846
           7479.5000            0.222029
           7485.5000            0.219977
           7491.5000            0.217851
           7497.5000            0.216202
           7503.5000            0.213543
           7509.5000            0.211395
           7515.5000            0.209252
           7521.5000            0.206880
           7527.5000            0.204671
           7533.6001            0.202541
           7539.6001            0.200578
           7545.6001            0.198620
           7551.6001            0.196668
           7557.6001            0.194488
           7563.6001            0.192314
           7569.6001            0.190920
           7575.6001            0.189220
           7581.6001            0.187062
           7587.6001            0.185141
           7593.6001            0.183148
           7599.6001            0.180854
           7605.6001            0.179179
           7611.6001            0.177356
           7617.6001            0.175997
           7623.7002            0.173949
           7629.7002            0.171912
           7635.7002            0.170261
           7641.7002            0.168311
           7647.7002            0.166215
           7653.7002            0.164200
           7659.7002            0.162644
           7665.7002            0.160942
           7671.7002            0.159320
           7677.7002            0.157928
           7683.7002            0.156014
           7689.7002            0.154256
           7695.7002            0.152652
           7701.7002            0.150679
           7707.7002            0.149011
           7713.7998            0.147342
           7719.7998            0.145386
           7725.7998            0.143806
           7731.7998            0.141935
           7737.7998            0.140438
           7743.7998            0.138872
           7749.7998            0.137385
           7755.7998            0.135827
           7761.7998            0.134055
           7767.7998            0.132654
           7773.7998            0.130890
           7779.7998            0.129279
           7785.7998            0.127891
           7791.7998            0.126434
           7797.7998            0.124836
           7803.8999            0.123674
           7809.8999            0.122013
           7815.8999            0.120501
           7821.8999            0.118921
           7827.8999            0.117706
           7833.8999            0.116567
           7839.8999            0.114856
           7845.8999            0.113868
           7851.8999            0.112668
           7857.8999            0.110971
           7863.8999            0.109921
           7869.8999            0.108803
           7875.8999            0.107546
           7881.8999            0.106435
           7887.8999            0.105256
           7894.0000            0.103795
           7900.0000            0.102341
           7906.0000            0.101033
           7912.0000            0.099939
           7918.0000            0.098498
           7924.0000            0.096782
           7930.0000            0.095840
           7936.0000            0.094691
           7942.0000            0.093337
