ID (disk)|filtername|central lambda (Angstrom)|central nu (log Hz)|description of filter
139712943205456|DECam_g|4734|14.8014|description_dummy
139712943334480|DECam_i|7833|14.5828|description_dummy
139712943720656|DECam_r|6416|14.6694|description_dummy
139712942900304|DECam_u|3564|14.9248|description_dummy
139712942659728|DECam_z|9260|14.5101|description_dummy
139896804298128|4Star_J|12415|14.3827|description_dummy
139896803642832|4Star_H|16188|14.2675|description_dummy
139896803507856|4Star_Ks|21480|14.1446|description_dummy
140010778946512|U_megacam|3794|14.8976|description_dummy
140010779394384|i_CHFTold|7642|14.5935|description_dummy
140010779836368|J_CHFT|12510|14.3794|description_dummy
140010779350992|Ks_CHFT|21525|14.1437|description_dummy
140010778937808|CTIO_Y4KCam_Z|9080|14.5186|description_dummy
140010779107664|u_ESO|3498|14.9328|description_dummy
140010779370960|u38_ESO|3656|14.9137|description_dummy
140010779453264|b_ESO|4571|14.8167|description_dummy
140010779372176|v_ESO|5129|14.7666|description_dummy
140010779332176|r_ESO|6521|14.6624|description_dummy
140010778945616|i_ESO|8560|14.5442|description_dummy
140010779835344|ALMA_band3|30990991|10.9855|description_dummy
140010778946064|Y_SUBARU_HSC|9780|14.4864|description_dummy
140010778795088|RAD_5_5GHz|564251753|9.7252|description_dummy
139915718573008|CTIO_MOSAIC_B|4395|14.8337|description_dummy
139915718393488|CTIO_MOSAIC_R|6633|14.6550|description_dummy
140654289325936|RAD_111MHz|27027026506|8.0449|description_dummy
140654289417600|RAD_154MHz|19480550000|8.1871|description_dummy
140654289417264|RAD_177MHz|16949151807|8.2475|description_dummy
140654289360400|RAD_365MHz|8219178072|8.5619|description_dummy
140654289359824|RAD_750MHz|4000000000|8.8746|description_dummy
